phase,domain,source_id,model,chars,sha256
discovery,abstracts,ac9c9ef0-28a9-4375-8c25-658458f7887c,mistral-chat,755,26d61713708e3823b53a7a412947e20e578c155fd4b68e9f1baf8217de936327
discovery,abstracts,ac9c9ef0-28a9-4375-8c25-658458f7887c,mpt-chat,519,43368a9931343a23909a700b0431a39320faa0d06452fb7a493e3888ec337433
discovery,abstracts,dabdb02d-0e5b-4e73-8d6a-983fc2d4c32a,human,716,84975b3521ab3dfc39d469f96dcbb8e56a04877d3bad6d08f1a909597d2ae6fe
discovery,abstracts,dabdb02d-0e5b-4e73-8d6a-983fc2d4c32a,chatgpt,536,9ab37d5d79677d18bd0d9cb0869018eed0bd061d6f52e0f2cb2c0d60fd2ca4d6
discovery,abstracts,dabdb02d-0e5b-4e73-8d6a-983fc2d4c32a,mistral-chat,747,868023245119b5cc01d889c1f21f0606187a7cc58edb98a8405784d5718192c3
discovery,abstracts,dabdb02d-0e5b-4e73-8d6a-983fc2d4c32a,mpt-chat,640,d62abd70249c9651b1da3f8a05bfbba7a3deae8b7198b085542bbb340b3030c6
discovery,abstracts,9e923e9e-05c3-4638-9c25-25c5495db3e1,human,1119,9e734adb020a69bf989ca36078e7b8c83a03af2958738577e720a31db8880347
discovery,abstracts,9e923e9e-05c3-4638-9c25-25c5495db3e1,chatgpt,818,2b4081dc7797ff054aaa3539436b494e13e96551aa8180c8ac0fe2fcb63095e4
discovery,abstracts,9e923e9e-05c3-4638-9c25-25c5495db3e1,mistral-chat,642,1da4119e2ff56348e809534d94fa57f63b51fe0df34049552439d84a175e6e0c
discovery,abstracts,9e923e9e-05c3-4638-9c25-25c5495db3e1,mpt-chat,470,9073405f6222b0a4455e6774010aed372220e95395235ee4d9c0dc6faa0ff9e3
discovery,abstracts,e2ab997c-ee8b-40a2-807d-094c57769a8c,human,1031,32ce160866c7618b9d7baa830e2f78659212cc739edc21f97f30cd93a7f12e09
discovery,abstracts,e2ab997c-ee8b-40a2-807d-094c57769a8c,chatgpt,751,9067ebb9a72c2595c79d0e3dd2e6403d474262d755b74d7d8240529f73805bcf
discovery,abstracts,e2ab997c-ee8b-40a2-807d-094c57769a8c,mistral-chat,765,c9afafaf2401f4504f8810250757cdec30c4067e2163962c3fda8886fe2234b8
discovery,abstracts,e2ab997c-ee8b-40a2-807d-094c57769a8c,mpt-chat,690,90ad460f4c3731925079b14723bc52e1604481deffe1f9e50699ad0c277c4e14
discovery,abstracts,ec072291-0009-4530-9229-25e29e0dd5b7,human,1008,191bd7b7d647c3e688543b73f60ca6a134e4416df37c73240bbf82583c8e4001
discovery,abstracts,ec072291-0009-4530-9229-25e29e0dd5b7,chatgpt,783,388dd33668c1d7a38678daffb419920e8c8471b3b13dc58691091b0468b44686
discovery,abstracts,ec072291-0009-4530-9229-25e29e0dd5b7,mistral-chat,895,8b70b056ddf93f84d920a7873a16e2775a8f8b3b1c351126e67eeeddad86f137
discovery,abstracts,ec072291-0009-4530-9229-25e29e0dd5b7,mpt-chat,592,dfe3163addde02594ab9f3ce8a7ba0d30609e6f14a41c7c79887db2401c29143
discovery,abstracts,8647a94d-6df7-4812-ba3a-1702c546d1cb,human,1247,231fed410ff65026c511590a59b42e19b316763a7581d0f89a9943ae46f1710a
discovery,abstracts,8647a94d-6df7-4812-ba3a-1702c546d1cb,chatgpt,1011,11f49780de7e009a8280f8ae16ad859fcc6265191ce6530ee17a6b248187bd55
discovery,abstracts,8647a94d-6df7-4812-ba3a-1702c546d1cb,mistral-chat,874,976182195566f8cb0e5b982116ac0d9bb48ad0cbfcb3326d090cf92da2e539c1
discovery,abstracts,8647a94d-6df7-4812-ba3a-1702c546d1cb,mpt-chat,567,c0d9667978b872b2a887890bfdd81511a4787f65501212d61a1205fef5f9eb65
discovery,abstracts,3e8bce8c-0f5c-4b44-a9e7-d25e4491a567,human,958,940fd900087a7680d37b1db3533e660ac72ee9f7b3a81b2edba1de5be45267c0
discovery,abstracts,3e8bce8c-0f5c-4b44-a9e7-d25e4491a567,chatgpt,829,60f43460f3cbb9e75ed63b46d6ca7b8f69f061858e37ce427ecd16f2e0ff209b
discovery,abstracts,3e8bce8c-0f5c-4b44-a9e7-d25e4491a567,mistral-chat,1206,9b425cadaa8a0a4bb62a5c422d0e26be27032bb549e635fdcbaff053a269c5c6
discovery,abstracts,3e8bce8c-0f5c-4b44-a9e7-d25e4491a567,mpt-chat,713,5df7bc0fa1dad0f76e53be4eac2362d7c8bd4d61cd86208c111ca4772439cee7
discovery,abstracts,9fab8eba-d46c-4574-899b-dcac09084cca,human,1022,f91a2c0e7e91f74553899b16ed4a54affb67cf713b6bf05973ca48f626e011d0
discovery,abstracts,9fab8eba-d46c-4574-899b-dcac09084cca,chatgpt,705,2449977230e4b05e5101e1961bac80a78018c75103172f0468fb5693d6b821bc
discovery,abstracts,9fab8eba-d46c-4574-899b-dcac09084cca,mistral-chat,1106,e3717bff2cda4a51926e69fda341713198178de3dee9451deab68d2753f8248a
discovery,abstracts,9fab8eba-d46c-4574-899b-dcac09084cca,mpt-chat,509,8842176324818ac36a423e586b67ad687280d296dfbb15cc1cde722deab756a4
discovery,abstracts,a4206ba5-6230-40b6-95e9-866735ee5d3c,human,1343,14d2e3da2d626bc66fff880e29a1166c82480d47592a4d1b75e85d2756c24b65
discovery,abstracts,a4206ba5-6230-40b6-95e9-866735ee5d3c,chatgpt,1688,062f090b3506582c2599144265c775752cd0f684f68454f17fcc1e0162a60555
discovery,abstracts,a4206ba5-6230-40b6-95e9-866735ee5d3c,mistral-chat,1015,b27d8fef2e14d1cfd6afbae6a981462f2935d979e5f44a72856a0140ce238ded
discovery,abstracts,a4206ba5-6230-40b6-95e9-866735ee5d3c,mpt-chat,637,a73a6ad7c63ff86a7085a220a32f143538d07a9ed42de46664565097cc12d610
discovery,abstracts,6d3ffcf8-6dcf-47c1-8579-0928ba563c73,human,1526,e68acdff7d8b855a51c88a79a18958cc4ef77146048596277f82b85fc3c99c6a
discovery,abstracts,6d3ffcf8-6dcf-47c1-8579-0928ba563c73,chatgpt,799,9117f7bc7952c87cdb1652f5c53cd9dc4cfb03430b57703370c6fe3c41558ea0
discovery,abstracts,6d3ffcf8-6dcf-47c1-8579-0928ba563c73,mistral-chat,519,0a9d2dbd0a862b0d33c11ec44ce000ef177c4a94fa3be9f5f1be82900aef8899
discovery,abstracts,6d3ffcf8-6dcf-47c1-8579-0928ba563c73,mpt-chat,771,ca77bea65822173b8d49f0075b719a07eea0be06543aa6eb4934486a555657d1
discovery,abstracts,1b89560d-d944-4e7d-8fae-9b7cd92f6651,human,1060,c6aa154741e0841aa2603e0b4497dbdf06cb59e96e07f54de7f3d474a0c735f4
discovery,abstracts,1b89560d-d944-4e7d-8fae-9b7cd92f6651,chatgpt,936,c494ba126d758cc475bcbb0aae29887f448c6e8fd991d61b78297590926a9fce
discovery,abstracts,1b89560d-d944-4e7d-8fae-9b7cd92f6651,mistral-chat,1126,aee1884c92b1d0defe5c2a1c95ce99ceb7e4bc00e5b262132147ec6f08959c53
discovery,abstracts,1b89560d-d944-4e7d-8fae-9b7cd92f6651,mpt-chat,571,e68e44ec2644d57c02f371eba2f4a05b1bf37a7f81744397e37daba8fa736394
discovery,abstracts,609fa3d4-dec3-4467-984b-e0291e6cac05,human,1265,416550a8ec3ca305a34d218c4306c582353e19762916fefbed71dd47d2ba3888
discovery,abstracts,609fa3d4-dec3-4467-984b-e0291e6cac05,chatgpt,1030,506ea7cfe067136d7cbbd9ab0ec22d7f3d2c4fd9fba3fd53f51e0f0e634f16e7
discovery,abstracts,609fa3d4-dec3-4467-984b-e0291e6cac05,mistral-chat,648,d99ea1937dd98c40b0b81e25a6c4a2be006f2a8664eceaaec90a7fe881a24c99
discovery,abstracts,609fa3d4-dec3-4467-984b-e0291e6cac05,mpt-chat,488,f703c8c0ee8838766c6ea79688e79a8b2c54abae46cdab6b7952df9608ea0197
discovery,abstracts,494bb685-a1ff-4b2d-9a6b-31b3a5f32b05,human,1402,92a6148d42a8a75c8bc12b9759c3c6e092ae6905b1b33c7853430177e739f550
discovery,abstracts,494bb685-a1ff-4b2d-9a6b-31b3a5f32b05,chatgpt,744,8435e5164bf3039dd9a78093032e1749d05bd3fbc9ba5279fe0177c899039e19
discovery,abstracts,494bb685-a1ff-4b2d-9a6b-31b3a5f32b05,mistral-chat,954,9ced4b6696200792cb37cd3b21341272caa2d712fdb81f0acdbde97ac1757975
discovery,abstracts,494bb685-a1ff-4b2d-9a6b-31b3a5f32b05,mpt-chat,521,3a5862418f91b1f090ba67794dc8bd04aac1ca3e6008365399a6d85ee399d696
discovery,abstracts,5b3ce448-e284-4512-bccc-e117b1c47c72,human,1127,f3a4705dab3610170aee181dd612a6981fe15932e24673b35f1425ac778366a2
discovery,abstracts,5b3ce448-e284-4512-bccc-e117b1c47c72,chatgpt,592,25c45e69b2013d50230341ee1a5f219aed968684f8b1e687165fddc754f2e457
discovery,abstracts,5b3ce448-e284-4512-bccc-e117b1c47c72,mistral-chat,854,73f04ebacab14c0f89473733b9bc575e830cc5d025668a5fb6ce72d70cf37407
discovery,abstracts,5b3ce448-e284-4512-bccc-e117b1c47c72,mpt-chat,428,93b90e2cb770ab65c0258d6cf67a3cf621e4f66d511ff1a561ad2ff72302f4a8
discovery,abstracts,b5146fec-a44a-41a4-bd1b-f4e87e0812cf,human,1526,f5992c1e94fe4c35cc4d3de49560220c82d4f5faab073e34b63fdd55a6420f5b
discovery,abstracts,b5146fec-a44a-41a4-bd1b-f4e87e0812cf,chatgpt,982,659b5ff01c73b28d14101cdee342842979c8cdf0bdbf9a27a760ebaeca46e3f2
discovery,abstracts,b5146fec-a44a-41a4-bd1b-f4e87e0812cf,mistral-chat,1068,1a179155bc2e515faa0eeb612c3a29196c4323169cc32fb0d6defe71d303b522
discovery,abstracts,b5146fec-a44a-41a4-bd1b-f4e87e0812cf,mpt-chat,585,d9e01c9ddd4b1e3ca765067423ba4e78f4a64ff90e0871a6a5856436d29ada29
discovery,abstracts,af473aa1-e148-4761-a2b7-89cdf4b9c726,human,1143,0932586ca56fa89448ca0c8b0f1808a566efa69a451a3f89eee8b9080042ad56
discovery,abstracts,af473aa1-e148-4761-a2b7-89cdf4b9c726,chatgpt,613,3a3268d1778e600a019c524a45ed0e075ee1f53085ff09b7030d00352ed06192
discovery,abstracts,af473aa1-e148-4761-a2b7-89cdf4b9c726,mistral-chat,876,aebf3e7a94196911dfc2acc8ec354efd931c13b65fbd46bf2947a6872d4e0afe
discovery,abstracts,af473aa1-e148-4761-a2b7-89cdf4b9c726,mpt-chat,443,3ce2a3b52b597322a5a797b47c0faf032abae4e153d5578051ea3c7bec7063f2
discovery,abstracts,4279e53e-f187-4654-8009-c5633b8449c8,human,1055,541873b854a1de215aa4b08793fd28ae3d25c8f7e7a8d9bcb64b7635af93f13d
discovery,abstracts,4279e53e-f187-4654-8009-c5633b8449c8,chatgpt,699,e2d2cdf2ae18d3eb46ea0a5545ac9e28073ed8d05d286b0bbb2315133839d091
discovery,abstracts,4279e53e-f187-4654-8009-c5633b8449c8,mistral-chat,1454,62083d34d11fa141ec30f7ea0ff5949c2972fea1f8b7c5e5ccde0c010e47bb54
discovery,abstracts,4279e53e-f187-4654-8009-c5633b8449c8,mpt-chat,734,d87d39a32126c2bdc9fc404f408233c9b5984ea60631fb539d2912dc1480cdbc
discovery,abstracts,515d0cd0-51a8-468e-a2da-60b0d3d96f6e,human,1370,3ffcc3d84ecd9b520fe695f02d38980962b56b50a2fec2443792822f10568381
discovery,abstracts,515d0cd0-51a8-468e-a2da-60b0d3d96f6e,chatgpt,743,f9a6cfab444c41bfc0f737c401a5d16a1a8855cc1f1f871825c99e4152de839b
discovery,abstracts,515d0cd0-51a8-468e-a2da-60b0d3d96f6e,mistral-chat,608,07e90182ac3edd80db385c818c162593b401f6493398501a0e834ea6445deaba
discovery,abstracts,515d0cd0-51a8-468e-a2da-60b0d3d96f6e,mpt-chat,672,50565477f35bd11b28bdea55223dac98185af97a66151de4fd821d6a7cc338ac
discovery,abstracts,53e6c118-bd9b-4e37-9670-7c4ee5621a66,human,1534,094eed4ffaf1e3cb925603af4a56216702195722b9f5823a0efd6bfc18b43c2d
discovery,abstracts,53e6c118-bd9b-4e37-9670-7c4ee5621a66,chatgpt,606,4df8395a510c35718115042d3b63370095ff5e008e4562c1e968d73a9b3eb34c
discovery,abstracts,53e6c118-bd9b-4e37-9670-7c4ee5621a66,mistral-chat,890,ce0e335dcf4613e083e06a2720c7c02a4f597c7b2e6df56f444c0e25e5e60413
discovery,abstracts,53e6c118-bd9b-4e37-9670-7c4ee5621a66,mpt-chat,691,9461a446ad53cb1f5c59bd8ccc52353af6b5100bc726b3fa08072aadb48cf675
discovery,abstracts,a3513051-d77b-49e6-9436-7fc2b2393ac2,human,1104,bf252483ae9d2b95c1b7ccf71b1abcc4fce31eb80a1866658d0d70a4b179b8d3
discovery,abstracts,a3513051-d77b-49e6-9436-7fc2b2393ac2,chatgpt,829,bbced45ef49c31e47b6db90c26ea905d959012eec19eb8868c1acfee1acb8a18
discovery,abstracts,a3513051-d77b-49e6-9436-7fc2b2393ac2,mistral-chat,1000,9af995af5e0f0b48086e820c99a3a69c2f871cb8ad052aa60d57d65a5cc5dc64
discovery,abstracts,a3513051-d77b-49e6-9436-7fc2b2393ac2,mpt-chat,530,9002c1e4fe3474151aa535c675db14e528e0bd0612d718dd3c7c8fd68d766119
discovery,abstracts,3d4ae7fc-3065-41d2-b9e7-91ff32ab7f9c,human,1112,453a3b4c51501ae42f158b20623876e66c5452798ea44b1dc84c3559206d5f98
discovery,abstracts,3d4ae7fc-3065-41d2-b9e7-91ff32ab7f9c,chatgpt,905,f3ddf9248f08f8b73186c0a4766dceba02d0e903bc1d5b9f963a521be6c10080
discovery,abstracts,3d4ae7fc-3065-41d2-b9e7-91ff32ab7f9c,mistral-chat,898,a23038bb3d3f8a1dfb26a5fac985ab2c2e7d44b3de59ad941c55aeaa18bc4c98
discovery,abstracts,3d4ae7fc-3065-41d2-b9e7-91ff32ab7f9c,mpt-chat,470,1bbb2b7c6dc1d2b5ee80da339df765ebbf990012f654a9d190fec1d5a8169c8c
discovery,abstracts,ea90c6fa-1f3b-4864-a511-a8bf23d0fe50,human,1134,3ab96005168118c55a9c3746f0cfeaaf940e60d63ce4644c7b83e6bf6a536a32
discovery,abstracts,ea90c6fa-1f3b-4864-a511-a8bf23d0fe50,chatgpt,862,769de36a7d5cdb3871378c4ec98542b72b83e4206302488226ae9c7261868876
discovery,abstracts,ea90c6fa-1f3b-4864-a511-a8bf23d0fe50,mistral-chat,1692,92208784660a843f1816cb40b27794fc22efbeea789fc039dff649981d69f17f
discovery,abstracts,ea90c6fa-1f3b-4864-a511-a8bf23d0fe50,mpt-chat,669,ac38964d803cb6b2e511cf53062c6d56e39420350a9ce8d74663da7fe3c86c3e
discovery,abstracts,fdaa6574-db47-41b9-a796-20b2167018a4,human,1084,43f6dff7c7befb1fb9b656889b43c1f424bbd1fdd19c7cca6cf3e0bd2424ea75
discovery,abstracts,fdaa6574-db47-41b9-a796-20b2167018a4,chatgpt,682,801473f6b8d0a11ed8b1f86076a920577fefdb18fec171f81829e63b59b7d797
discovery,abstracts,fdaa6574-db47-41b9-a796-20b2167018a4,mistral-chat,1025,ecd2976748c6c65add82fefb45eaebffca3366cec6184cb9b190063fe5a3e665
discovery,abstracts,fdaa6574-db47-41b9-a796-20b2167018a4,mpt-chat,828,05405e294b8302d5c625869abd153f5d2703d1f1dde209b8763f31a025a6c0d9
discovery,abstracts,87aa367e-068d-49a2-92d3-a9f380cc6fff,human,1202,fd651ee267ec3d02cce83f4d51d103aa1868917f163bbd57883d06a8d72b940d
discovery,abstracts,87aa367e-068d-49a2-92d3-a9f380cc6fff,chatgpt,664,94afff37847e82bf462bc8f43595316e7ce3a3f2537d1e14e968fc480470398c
discovery,abstracts,87aa367e-068d-49a2-92d3-a9f380cc6fff,mistral-chat,808,5fe9f332219bf4240dd270b46db1a8484784e35834a71c686259aec8284e9b7d
discovery,abstracts,87aa367e-068d-49a2-92d3-a9f380cc6fff,mpt-chat,680,eea6c5c156bb800d1b6f7760d01726f12d3416eb485f2f2275147460fdd8add5
discovery,abstracts,0d4ec38f-fd0b-4bbe-94c8-0f2f9e78a6b9,human,1058,f649b665a5faae386e0c7a1e02ae362a0636e00050080144afda2fef60b433fb
discovery,abstracts,0d4ec38f-fd0b-4bbe-94c8-0f2f9e78a6b9,chatgpt,883,5b4a709442fd2314375c4154a5d76943a3783c4f604851f7332663986c5a0cca
discovery,abstracts,0d4ec38f-fd0b-4bbe-94c8-0f2f9e78a6b9,mistral-chat,1030,afa84ebd0465ad9a48676f3adced0f87cd336c27e4ae03fc87c287cefc665119
discovery,abstracts,0d4ec38f-fd0b-4bbe-94c8-0f2f9e78a6b9,mpt-chat,783,10e160a4cec0f0a8b0b39bb0eecca18c3effcf3399ce8fe11804ac5efd1a1e94
discovery,abstracts,588ef2a6-62b6-4fbf-a9ea-845a67a36566,human,1550,05f6b60a810a0bf80e8977a8f396a848f2d3b2e87786ac2e1d6bb9c50a6605e7
discovery,abstracts,588ef2a6-62b6-4fbf-a9ea-845a67a36566,chatgpt,754,197db78f491e37fa77e3a6077718b38306644e0cc1f1118c7d3ebc7e1efbf67d
discovery,abstracts,588ef2a6-62b6-4fbf-a9ea-845a67a36566,mistral-chat,823,a50abce8b62504c94895e299c30a2c14e417b07473b16e3c2d69216b88fa7cdb
discovery,abstracts,588ef2a6-62b6-4fbf-a9ea-845a67a36566,mpt-chat,511,5dd028316e35b4397f2426b205815a4378de5f781e54e181eca748c53a7b813a
discovery,abstracts,889488e7-df78-40ad-a52a-32f52f64feb9,human,1354,9634d19a9d2865d8d633e886b6cd24139b1fa51b699dbf31770db5167f5d4759
discovery,abstracts,889488e7-df78-40ad-a52a-32f52f64feb9,chatgpt,959,fbd8ce77231c9e1754cec71c32bace9373efdb9aa375e6735e4a4c0ad2ae016d
discovery,abstracts,889488e7-df78-40ad-a52a-32f52f64feb9,mistral-chat,1131,12db8363a3a04fb94e6370dc1f9e41bee53c45335d47f3d9b32cc3ab0942a9eb
discovery,abstracts,889488e7-df78-40ad-a52a-32f52f64feb9,mpt-chat,606,49553ceddbcd6e3b0a9a893a9193b70e662ff2a6ada65a8496a973bff0f101c9
discovery,abstracts,41387e06-fc54-4512-a6ee-7c9187e5e3d7,human,722,49d3b2a148f6ee00b284670f154dd31609c01442546a9b1febcde45e8b214693
discovery,abstracts,41387e06-fc54-4512-a6ee-7c9187e5e3d7,chatgpt,655,7ced5db201d1773555a4504f8d6af43d5efe16d413ce5000efa28fd6abba1dc9
discovery,abstracts,41387e06-fc54-4512-a6ee-7c9187e5e3d7,mistral-chat,1001,57645bfffeeafe4246bb6fd57bc915d49b464c5193b7f7d57c71e91bed281452
discovery,abstracts,41387e06-fc54-4512-a6ee-7c9187e5e3d7,mpt-chat,657,27378e8627ba8a1357b5625346fd959800479a894fa9decfae342d3ba1e46eb2
discovery,abstracts,b1c611c1-9013-45c5-a1e4-80e26f47cef1,human,1001,d2aaf2012797a68a7da56d1326385c8f1cfe173edb3a045c681e9264586ab9fb
discovery,abstracts,b1c611c1-9013-45c5-a1e4-80e26f47cef1,chatgpt,1107,6eb90aceb5839c27a27a2fdf05b03897faedc699338b8e656f96d32cf87917fc
discovery,abstracts,b1c611c1-9013-45c5-a1e4-80e26f47cef1,mistral-chat,767,0039b3528cb01ea26acc88c1e8255595a8337458e870127af5a79ef95a25ce43
discovery,abstracts,b1c611c1-9013-45c5-a1e4-80e26f47cef1,mpt-chat,413,0be785f9085edcc379cc742c8a7ce6dec563b66659a07b39a0e5a1fc7286da64
discovery,abstracts,38c7a56e-c73f-425d-8c54-d7539f34e781,human,1210,313e2c0b6adb8b0f090cfde048ddae1779f4473f4eb663c3824a81b83d3e0a6c
discovery,abstracts,38c7a56e-c73f-425d-8c54-d7539f34e781,chatgpt,634,0e2acc4c6acf11a8118a33067d480635896cd2bcb4d0bc887a249a6f65086adb
discovery,abstracts,38c7a56e-c73f-425d-8c54-d7539f34e781,mistral-chat,783,e357c2fc51d62d46512d9a9c1d4bf261b2770796c2e3fc5b333ac10cf9eaf98b
discovery,abstracts,38c7a56e-c73f-425d-8c54-d7539f34e781,mpt-chat,689,a62aa8baed4527e047a258aeb276606f8a8533370ee3f6e5d053422813549fde
discovery,abstracts,25fe5a5b-e9e8-453a-a902-dd360bd33f00,human,839,69df4be1044f3d96f1b085c0209f0b1122f0e4f6ead1a61762c82fa8b07015f8
discovery,abstracts,25fe5a5b-e9e8-453a-a902-dd360bd33f00,chatgpt,719,5026cdd5ba00629b936fef272cd10995f7d5635d8cc72ebfbc209358f5053d14
discovery,abstracts,25fe5a5b-e9e8-453a-a902-dd360bd33f00,mistral-chat,1359,7fab84824023ae68f454c4fd6fb989c4f41c0d061e59684a0a7a0f7f1ba7a163
discovery,abstracts,25fe5a5b-e9e8-453a-a902-dd360bd33f00,mpt-chat,673,5a5cab9eea0610316bed985da8fabc63fa70a7c9d4359661019cb699acbaf6b6
discovery,abstracts,e1a4007b-1814-4754-99cc-b195611f88d6,human,1462,9de195b39c16a6516e040c3b3a2f806d5d35762b808df8402e38e0420d26ad4b
discovery,abstracts,e1a4007b-1814-4754-99cc-b195611f88d6,chatgpt,724,a3b63359195101e3639035bfacc0d50f5b7effebc1e0f8d28ed4ea43ac057037
discovery,abstracts,e1a4007b-1814-4754-99cc-b195611f88d6,mistral-chat,828,23227c05da9da93155b1f95697e682e2207782a906a79b78487897d54d172a8e
discovery,abstracts,e1a4007b-1814-4754-99cc-b195611f88d6,mpt-chat,747,2411629858476d67cfb0bea80fa0143c507c33ed5ff59748605a4843b49f079d
discovery,abstracts,693fb74f-98d9-4d42-9227-472ccb65d731,human,1422,8cc5a7c9174f9fe4668815925a7153decf54c1e581818bce50fedc2b70496f25
discovery,abstracts,693fb74f-98d9-4d42-9227-472ccb65d731,chatgpt,798,978f9bf8a82331be58a393509ef42a56718a78c3a6b2b16fb365dd6d41811bb6
discovery,abstracts,693fb74f-98d9-4d42-9227-472ccb65d731,mistral-chat,1105,68ddc8cec299ad07f968bb6e87e767ace0eb9a66bd6471fd0862e9c2669b2153
discovery,abstracts,693fb74f-98d9-4d42-9227-472ccb65d731,mpt-chat,550,b0b21e7fff0abb8a4bca6339cc60f3fa374d08cc8c72d3b8e48f65924387b928
discovery,abstracts,6aba991c-e83c-44ff-96d3-9d4e01d4bba4,human,1256,5801e87b53fc1934f9f27b1fdf2d430eeec522e8314d2b835839d9b8b38fb3f3
discovery,abstracts,6aba991c-e83c-44ff-96d3-9d4e01d4bba4,chatgpt,1096,c248052f1a4c16cff5c18972276894b63839281af7781b74692ba58069e1c5c6
discovery,abstracts,6aba991c-e83c-44ff-96d3-9d4e01d4bba4,mistral-chat,924,61463c1d40289db1b3c688f8664cadd489b07ff93dd4f96c8d5ce5439f777f45
discovery,abstracts,6aba991c-e83c-44ff-96d3-9d4e01d4bba4,mpt-chat,821,9922269ba2de14c20c7535e01f9654fe8b307080b504914353c06832aae14def
discovery,abstracts,6ddd248b-7b90-401e-8dac-03c3041af14a,human,1289,0a3442fdb42495d80d551be9a0df1b8f2813d75d03124e15c7e0a77be7b43524
discovery,abstracts,6ddd248b-7b90-401e-8dac-03c3041af14a,chatgpt,561,7e8765e80acb2e481113ec0f5d9ee512ddd8e05b145b163cafa6fb7d44df499d
discovery,abstracts,6ddd248b-7b90-401e-8dac-03c3041af14a,mistral-chat,662,385f7503a86d36afc97d2f5a1adc73c33e57321e5575dbcd7b99dc713b599e47
discovery,abstracts,6ddd248b-7b90-401e-8dac-03c3041af14a,mpt-chat,462,40ead6f6739a3afafb3bdcf6ebfded1194db2fe371ed724c41c33121f37dd6bf
discovery,abstracts,1eeb4520-a089-4fb0-80af-f1847f8b04f7,human,1012,d198589bb6e81d565a0e7be382c5444693b6e8318ae06f787eb1ac9f26a4cbab
discovery,abstracts,1eeb4520-a089-4fb0-80af-f1847f8b04f7,chatgpt,747,1192edeb9a9491ba68e1177f83fcda8e7c95e448f8eac8f66f7aab28fa76404e
discovery,abstracts,1eeb4520-a089-4fb0-80af-f1847f8b04f7,mistral-chat,685,962d626ca9fe157bf12ad9eb952a9b82e0d9ff35289dc76c68c3279043c17c1e
discovery,abstracts,1eeb4520-a089-4fb0-80af-f1847f8b04f7,mpt-chat,646,d1a0f46030a42b1b6ea2562946fb9a942c321cc313b0bd578965713d96decc81
